date,campaign,country,ad_network,installs,clicks,impressions,cost,revenue_d1,revenue_d7,retention_d1,retention_d7
2026-04-21,SummerBoost_US,US,meta,181,2317,81115,351.98,98.99,277.92,0.3325,0.115
2026-04-21,GrowthMax_CA,CA,tiktok,103,1418,59531,412.22,79.94,235.5,0.2842,0.1004
2026-04-21,RetargetPro_UK,UK,google_ads,135,1098,38881,513.35,194.1,500.86,0.3739,0.1545
2026-04-21,VideoAd_AU,AU,meta,83,1244,57514,238.96,45.56,128.83,0.3092,0.1125
2026-04-21,SearchCap_DE,DE,google_ads,127,1287,35126,638.3,155.31,426.35,0.3627,0.1411
2026-04-21,BrandAware_US,US,tiktok,113,1948,102045,221.24,25.81,75.78,0.2592,0.088
2026-04-21,InstallDrive_CA,CA,google_ads,130,1199,30407,504.89,156.9,406.31,0.3653,0.1516
2026-04-21,CreativeTest_UK,UK,meta,167,1731,48355,494.96,134.29,367.87,0.4023,0.1833
2026-04-21,LookAlike_AU,AU,tiktok,84,1339,72399,160.14,25.37,74.2,0.2525,0.1044
2026-04-21,UAC_DE,DE,google_ads,125,1374,46693,742.17,154.02,429.6,0.3222,0.1267
2026-04-22,SummerBoost_US,US,meta,190,2357,80490,395.12,95.97,282.13,0.3359,0.1201
2026-04-22,GrowthMax_CA,CA,tiktok,98,1373,57545,397.0,84.07,242.07,0.2678,0.0988
2026-04-22,RetargetPro_UK,UK,google_ads,148,1178,41984,613.36,196.82,506.77,0.3869,0.1606
2026-04-22,VideoAd_AU,AU,meta,80,1198,53717,238.43,43.7,119.44,0.3113,0.1074
2026-04-22,SearchCap_DE,DE,google_ads,123,1185,35002,637.79,142.97,391.69,0.3538,0.1351
2026-04-22,BrandAware_US,US,tiktok,127,2060,102625,254.77,29.04,84.46,0.257,0.0939
2026-04-22,InstallDrive_CA,CA,google_ads,138,1286,31136,527.6,177.15,458.29,0.3451,0.1498
2026-04-22,CreativeTest_UK,UK,meta,176,1718,47846,508.38,133.39,368.69,0.3906,0.1867
2026-04-22,LookAlike_AU,AU,tiktok,79,1214,69461,161.63,23.69,68.98,0.2729,0.1015
2026-04-22,UAC_DE,DE,google_ads,116,1343,44721,676.84,136.77,376.6,0.3211,0.1264
2026-04-23,SummerBoost_US,US,meta,181,2327,76567,376.68,94.22,281.26,0.3116,0.122
2026-04-23,GrowthMax_CA,CA,tiktok,109,1403,58285,439.1,93.91,260.89,0.2886,0.0969
2026-04-23,RetargetPro_UK,UK,google_ads,127,1067,38387,506.32,180.8,467.67,0.3984,0.1536
2026-04-23,VideoAd_AU,AU,meta,85,1178,54464,248.59,43.02,123.55,0.2977,0.1076
2026-04-23,SearchCap_DE,DE,google_ads,123,1244,34124,637.22,138.13,401.76,0.3675,0.1447
2026-04-23,BrandAware_US,US,tiktok,135,2183,104689,260.99,32.08,94.36,0.2673,0.086
2026-04-23,InstallDrive_CA,CA,google_ads,133,1242,29636,547.11,155.56,423.69,0.3765,0.1574
2026-04-23,CreativeTest_UK,UK,meta,173,1798,50278,508.45,138.0,380.33,0.4017,0.1845
2026-04-23,LookAlike_AU,AU,tiktok,78,1214,66900,161.5,24.82,67.8,0.2491,0.0969
2026-04-23,UAC_DE,DE,google_ads,121,1386,45427,698.4,145.57,414.88,0.3331,0.1316
2026-04-24,SummerBoost_US,US,meta,192,2400,79353,400.69,99.93,279.48,0.3116,0.1187
2026-04-24,GrowthMax_CA,CA,tiktok,110,1495,61030,451.08,88.08,252.72,0.294,0.105
2026-04-24,RetargetPro_UK,UK,google_ads,121,1041,38293,504.97,178.35,452.19,0.375,0.1545
2026-04-24,VideoAd_AU,AU,meta,90,1275,56835,283.16,45.62,137.08,0.3095,0.1078
2026-04-24,SearchCap_DE,DE,google_ads,125,1299,35571,600.96,141.25,390.29,0.342,0.1415
